q0,q1,q2,q3,acc_x,acc_y,acc_z
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.33
1.0,-0.04,0.01,-0.0,0.03,0.03,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.04,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.34
1.0,-0.04,0.01,-0.0,0.03,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.0,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.33
1.0,-0.04,0.01,-0.0,0.03,0.0,-0.35
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.38
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.36
1.0,-0.04,0.01,-0.0,0.04,0.04,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.33
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.0,-0.4
1.0,-0.04,0.01,-0.0,0.02,0.05,-0.34
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.38
1.0,-0.04,0.01,-0.0,0.01,0.04,-0.34
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.38
1.0,-0.04,0.01,-0.0,0.03,0.02,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.37
1.0,-0.04,0.01,-0.0,0.03,0.01,-0.37
1.0,-0.04,0.01,-0.0,0.0,0.03,-0.36
1.0,-0.04,0.01,-0.0,0.03,0.01,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.34
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.35
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.39
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.04,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.05,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.0,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.37
1.0,-0.04,0.01,-0.0,0.04,0.03,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.0,-0.35
1.0,-0.04,0.01,-0.0,0.03,0.01,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.0,-0.35
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.35
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.34
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.36
1.0,-0.04,0.01,-0.0,0.04,0.0,-0.39
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.35
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.0,-0.34
1.0,-0.04,0.01,-0.0,0.03,0.0,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.37
1.0,-0.04,0.01,-0.0,0.03,0.01,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.35
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.34
1.0,-0.04,0.01,-0.0,0.0,0.06,-0.36
1.0,-0.04,0.01,-0.0,0.03,0.03,-0.34
1.0,-0.04,0.01,-0.0,0.0,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.03,0.01,-0.35
1.0,-0.04,0.01,-0.0,0.03,0.02,-0.33
1.0,-0.04,0.01,-0.0,0.01,0.05,-0.36
1.0,-0.04,0.01,-0.0,0.03,0.04,-0.34
1.0,-0.04,0.01,-0.0,0.04,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.36
1.0,-0.04,0.01,-0.0,0.03,0.02,-0.34
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.33
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.35
1.0,-0.04,0.01,-0.0,0.03,0.03,-0.35
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.36
1.0,-0.04,0.01,-0.0,0.0,0.03,-0.33
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.0,-0.34
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.34
1.0,-0.04,0.01,-0.0,0.02,0.0,-0.35
1.0,-0.04,0.01,-0.0,0.0,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.33
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.35
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.03,0.0,-0.34
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.34
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.0,-0.36
1.0,-0.04,0.01,-0.0,0.04,0.01,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.38
1.0,-0.04,0.01,-0.0,0.03,0.01,-0.35
1.0,-0.04,0.01,-0.0,0.03,0.02,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.03,0.01,-0.36
1.0,-0.04,0.01,-0.0,0.03,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.35
1.0,-0.04,0.01,-0.0,0.01,0.0,-0.34
1.0,-0.04,0.01,-0.0,0.03,0.03,-0.36
1.0,-0.04,0.01,-0.0,0.0,0.04,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.03,0.03,-0.39
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.0,-0.36
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.36
1.0,-0.04,0.01,-0.0,0.05,0.04,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.34
1.0,-0.04,0.01,-0.0,0.01,0.01,-0.32
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.04,-0.33
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.35
1.0,-0.04,0.01,-0.0,0.01,0.02,-0.37
1.0,-0.04,0.01,-0.0,0.03,0.01,-0.34
1.0,-0.04,0.01,-0.0,0.04,0.0,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.37
1.0,-0.04,0.01,-0.0,0.01,0.04,-0.37
1.0,-0.04,0.01,-0.0,0.03,0.0,-0.35
1.0,-0.04,0.01,-0.0,0.03,0.02,-0.36
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.37
1.0,-0.04,0.01,-0.0,0.0,0.03,-0.34
1.0,-0.04,0.01,-0.0,0.04,0.01,-0.38
1.0,-0.04,0.01,-0.0,0.02,0.01,-0.35
1.0,-0.04,0.01,-0.0,0.03,0.04,-0.33
1.0,-0.04,0.01,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.35
1.0,-0.04,0.01,-0.0,0.02,0.03,-0.37
1.0,-0.04,0.01,-0.0,0.02,0.02,-0.36
